frame.time_epoch;ip.src;ip.dst;tcp.srcport;tcp.dstport;udp.srcport;udp.dstport;http.host;tls.handshake.extensions_server_name;frame.protocols;frame.len;http.request.method;http.response.code;dns.qry.name;tcp.flags
1676315128.863419000;10.2.13.1;10.2.13.101;;;53;53705;;;eth:ethertype:ip:udp:dns;91;;;qonavlecher.com;
1676315128.954652000;10.2.13.101;192.3.76.227;50009;443;;;;qonavlecher.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1676315430.528539000;10.2.13.101;10.2.13.1;;;52059;53;;;eth:ethertype:ip:udp:dns;75;;;qonavlecher.com;
1676315430.565271000;10.2.13.1;10.2.13.101;;;53;52059;;;eth:ethertype:ip:udp:dns;91;;;qonavlecher.com;
1676315430.646767000;10.2.13.101;192.3.76.227;50018;443;;;;qonavlecher.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1676315732.287542000;10.2.13.101;10.2.13.1;;;60860;53;;;eth:ethertype:ip:udp:dns;75;;;qonavlecher.com;
1676315732.320788000;10.2.13.1;10.2.13.101;;;53;60860;;;eth:ethertype:ip:udp:dns;91;;;qonavlecher.com;
1676315732.399808000;10.2.13.101;192.3.76.227;50019;443;;;;qonavlecher.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1676316033.950848000;10.2.13.101;10.2.13.1;;;58245;53;;;eth:ethertype:ip:udp:dns;75;;;qonavlecher.com;
1676316034.005371000;10.2.13.1;10.2.13.101;;;53;58245;;;eth:ethertype:ip:udp:dns;91;;;qonavlecher.com;
1676316034.086881000;10.2.13.101;192.3.76.227;50020;443;;;;qonavlecher.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1676316335.920244000;10.2.13.101;10.2.13.1;;;50813;53;;;eth:ethertype:ip:udp:dns;75;;;qonavlecher.com;
1676316335.983053000;10.2.13.1;10.2.13.101;;;53;50813;;;eth:ethertype:ip:udp:dns;91;;;qonavlecher.com;
1676316336.072611000;10.2.13.101;192.3.76.227;50022;443;;;;qonavlecher.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1676316637.917281000;10.2.13.101;10.2.13.1;;;56429;53;;;eth:ethertype:ip:udp:dns;75;;;qonavlecher.com;
1676316637.967622000;10.2.13.1;10.2.13.101;;;53;56429;;;eth:ethertype:ip:udp:dns;91;;;qonavlecher.com;
1676316638.047359000;10.2.13.101;192.3.76.227;50025;443;;;;qonavlecher.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1677169246.874184000;10.24.8.189;104.156.149.6;50652;80;;;104.156.149.6;;eth:ethertype:ip:tcp:http;222;PROPFIND;;;0x0018
1677169246.896112000;10.24.8.189;104.156.149.6;50652;80;;;104.156.149.6;;eth:ethertype:ip:tcp:http;223;PROPFIND;;;0x0018
1677169246.938873000;10.24.8.189;104.156.149.6;50653;80;;;104.156.149.6;;eth:ethertype:ip:tcp:http;235;PROPFIND;;;0x0018
1677169246.942675000;10.24.8.189;104.156.149.6;50654;80;;;104.156.149.6;;eth:ethertype:ip:tcp:http;235;PROPFIND;;;0x0018
1677169248.552177000;10.24.8.189;104.156.149.6;50655;80;;;104.156.149.6;;eth:ethertype:ip:tcp:http;244;GET;;;0x0018
1677169250.351999000;10.24.8.189;104.156.149.6;50656;80;;;104.156.149.6;;eth:ethertype:ip:tcp:http;240;PROPFIND;;;0x0018
1677169250.422364000;10.24.8.189;104.156.149.6;50657;80;;;104.156.149.6;;eth:ethertype:ip:tcp:http;231;PROPFIND;;;0x0018
1677169250.444776000;10.24.8.189;104.156.149.6;50657;80;;;104.156.149.6;;eth:ethertype:ip:tcp:http;240;GET;;;0x0018
1677169250.449183000;10.24.8.189;10.24.8.8;;;59803;53;;;eth:ethertype:ip:udp:dns;78;;;mandalorecnote.com;
1677169250.569449000;10.24.8.189;104.156.149.6;50660;80;;;104.156.149.6;;eth:ethertype:ip:tcp:http;244;PROPFIND;;;0x0018
1677169250.583638000;10.24.8.8;10.24.8.189;;;53;59803;;;eth:ethertype:ip:udp:dns;94;;;mandalorecnote.com;
1677169250.605274000;10.24.8.189;157.254.195.65;50661;80;;;mandalorecnote.com;;eth:ethertype:ip:tcp:http;143;GET;;;0x0018
1677169250.613156000;10.24.8.189;104.156.149.6;50662;80;;;104.156.149.6;;eth:ethertype:ip:tcp:http;244;PROPFIND;;;0x0018
1677169250.655038000;10.24.8.189;104.156.149.6;50663;80;;;104.156.149.6;;eth:ethertype:ip:tcp:http;240;PROPFIND;;;0x0018
1677169252.309001000;10.24.8.189;10.24.8.8;;;64840;53;;;eth:ethertype:ip:udp:dns;71;;;ituitem.net;
1677169252.480918000;10.24.8.8;10.24.8.189;;;53;64840;;;eth:ethertype:ip:udp:dns;87;;;ituitem.net;
1677169252.621200000;10.24.8.189;5.61.47.8;50664;443;;;;ituitem.net;eth:ethertype:ip:tcp:tls;232;;;;0x0018
1677169253.201884000;10.24.8.189;5.61.47.8;50665;80;;;ituitem.net;;eth:ethertype:ip:tcp:http;347;GET;;;0x0018
1677169314.231316000;10.24.8.189;10.24.8.8;;;57268;53;;;eth:ethertype:ip:udp:dns;75;;;renomesolar.com;
1677169314.265260000;10.24.8.8;10.24.8.189;;;53;57268;;;eth:ethertype:ip:udp:dns;91;;;renomesolar.com;
1677169314.391580000;10.24.8.189;38.180.0.89;50666;443;;;;renomesolar.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1677169315.931086000;10.24.8.189;38.180.0.89;50668;443;;;;renomesolar.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1677169315.931874000;10.24.8.189;38.180.0.89;50667;443;;;;renomesolar.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1677169322.293471000;10.24.8.189;10.24.8.8;;;53465;53;;;eth:ethertype:ip:udp:dns;81;;;palasedelareforma.com;
1677169322.562128000;10.24.8.8;10.24.8.189;;;53;53465;;;eth:ethertype:ip:udp:dns;97;;;palasedelareforma.com;
1677169322.719896000;10.24.8.189;37.252.6.77;50674;443;;;;palasedelareforma.com;eth:ethertype:ip:tcp:tls;242;;;;0x0018
1677169328.824891000;10.24.8.189;10.24.8.8;;;65479;53;;;eth:ethertype:ip:udp:dns;73;;;noosaerty.com;
1677169328.944744000;10.24.8.8;10.24.8.189;;;53;65479;;;eth:ethertype:ip:udp:dns;89;;;noosaerty.com;
1677169329.087185000;10.24.8.189;80.78.24.30;50675;443;;;;noosaerty.com;eth:ethertype:ip:tcp:tls;234;;;;0x0018
1677169377.547044000;10.24.8.189;10.24.8.8;;;56452;53;;;eth:ethertype:ip:udp:dns;81;;;wpad.youbeforeme.life;
1677169377.547383000;10.24.8.8;10.24.8.189;;;53;56452;;;eth:ethertype:ip:udp:dns;160;;;wpad.youbeforeme.life;
1677169616.168749000;10.24.8.189;38.180.0.89;50677;443;;;;renomesolar.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1677169917.646892000;10.24.8.189;38.180.0.89;50679;443;;;;renomesolar.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1677169977.843407000;10.24.8.189;10.24.8.8;;;55415;53;;;eth:ethertype:ip:udp:dns;81;;;wpad.youbeforeme.life;
1677169977.843849000;10.24.8.8;10.24.8.189;;;53;55415;;;eth:ethertype:ip:udp:dns;160;;;wpad.youbeforeme.life;
1677170219.237104000;10.24.8.189;38.180.0.89;50680;443;;;;renomesolar.com;eth:ethertype:ip:tcp:tls;236;;;;0x0018
1677546707.934566000;172.16.0.143;172.16.0.10;;;53388;53;;;eth:ethertype:ip:udp:dns;75;;;columbiahhc.com;
